,Date & Time,Type,Text,Sources,Targets,Event_Communication,Event_Monitoring,Findings
407,2040-10-08 11:21:00,Communication,"Nadia, Davis here. I'll be at the marina office at 7PM with all shipping manifests. Could you bring copies of permit #CR-7844? Marlin's asking about unusual vessel routes near eastern shoals - might need to address this.",Davis (Person),Nadia Conti (Person),Event_Communication_582,Relationship_Colleagues_551,
408,2040-10-08 11:23:00,Communication,"Marlin, Nadia here. I understand you're inquiring about eastern shoal routes. Those are temporary diversions due to equipment transport needs. I'll have Davis provide the necessary documentation tonight. Nothing to be concerned about.",Nadia Conti (Person),Marlin (Vessel),Event_Communication_584,Event_Assessment_583,
409,2040-10-08 11:26:00,Communication,"Davis, Marlin here again. Nadia mentioned you'd provide documentation about those eastern shoal diversions tonight. Just checking if that's still coming through. Need to understand these new patterns while my vessel's being repaired.",Davis (Person),Nadia Conti (Person),Event_Communication_585,Relationship_Operates_351,
786,2040-10-08 19:00:00,Collaborate,,Davis (Person),Nadia Conti (Person),,,
419,2040-10-09 08:54:00,Communication,"Nadia, Elise here. Situation escalating. Permanent underwater construction confirmed at Nemo Reef. Sam reports concrete forms suggesting structures beyond equipment installation. Need urgent clarification on real scope and V. Miesel's involvement before tomorrow's meeting. Prepare contingencies.",Elise (Person),Nadia Conti (Person),Event_Communication_601,Relationship_Suspicious_360,
465,2040-10-10 10:45:00,Communication,"Nadia, Sentinel here. Have you received any scientific data supporting the Nemo Reef closure? Our water quality tests show normal parameters. City Council claims reports are with Maritime Authority, but I suspect potential ulterior motives.",Sentinel (Vessel),Nadia Conti (Person),Event_Communication_677,Event_Monitoring_266,Vessel with transponder name 'Mako' detected near Nemo Reef protected boundary before signal loss
480,2040-10-10 12:30:00,Communication,"Nadia, Elise here. Meeting confirmed for 0500 at Nemo Reef. Sam's evidence shows clear V. Miesel connection to permanent structures. Conservation vessels increasing surveillance - could complicate our operation. Bring alternate financial channels in case we need quick adaptation.",Elise (Person),Nadia Conti (Person),Event_Communication_708,Relationship_Colleagues_321,
504,2040-10-11 09:20:00,Communication,"Nadia, Liam here. EcoVigil is questioning the ROV delay. I've redirected them to the northern quadrant, but they're suspicious about the southwest. We need to clean up operations there immediately. What's our contingency plan?",Liam Thorne (Person),Nadia Conti (Person),Event_Communication_753,Relationship_Colleagues_494,
533,2040-10-12 08:44:00,Communication,"Liam, Nadia here. Redirect all remaining operations from southwest immediately. Move equipment to our secondary location. I'll handle EcoVigil through proper channels. Meet me at the usual place at 2100 hours with updated documentation.",Nadia Conti (Person),Liam Thorne (Person),Event_Communication_795,Relationship_Colleagues_494,
539,2040-10-12 09:24:00,Communication,"Rodriguez, Davis here. Maintain current position with Mako at Nemo Reef. Security team arriving at 0600. Continue operating under permit #CR-7844 and keep tourism appearance. I'll update after meeting with Nadia tonight.",Rodriguez (Person),Nadia Conti (Person),Event_Communication_805,Relationship_Colleagues_619,
565,2040-10-12 11:14:00,Communication,Davis here to V. Miesel Shipping. Crew reallocation from Remora to Neptune underway as requested. Will maintain confidentiality regarding permit #CR-7844. Security team arrives 0600 tomorrow. Meeting Nadia tonight to finalize documentation.,Davis (Person),Nadia Conti (Person),Event_Communication_845,Relationship_Colleagues_551,
566,2040-10-12 11:17:00,Communication,V. Miesel HQ to Nadia. Need your immediate confirmation that all documentation for permit #CR-7844 is finalized before tomorrow's 0600 Nemo Reef closure. Davis mentioned meeting you tonight. Any complications we should be aware of?,V. Miesel Shipping (Organization),Nadia Conti (Person),Event_Communication_846,Relationship_AccessPermission_214,
567,2040-10-12 11:19:00,Communication,This is Nadia. Documentation for permit #CR-7844 is complete. Meeting The Middleman at 2100 to handle final details. Recommend accelerating timeline due to EcoVigil's ROV approval. Shifting operations from southwest immediately. Will update after meeting.,Nadia Conti (Person),V. Miesel Shipping (Organization),Event_Communication_847,,
581,2040-10-13 08:21:00,Communication,"Davis, Nadia here. Need you to verify final equipment transport tonight at Nemo Reef. The Middleman reports increased surveillance. Ensure all operations follow encrypted protocols. Meet me at V. Miesel HQ tomorrow at 0900 to discuss contingency plans.",Davis (Person),Nadia Conti (Person),Event_Communication_869,Relationship_Colleagues_551,
622,2040-10-14 08:34:00,Communication,"Nadia, Remora vessel reporting. All preparations for Sailor Shifts complete at south dock. Delta-3 protocols active, tourism facade maintained. Conservation vessels being monitored. Need final approval for underwater lighting placement at Nemo Reef.",Remora (Vessel),Nadia Conti (Person),Event_Communication_943,Relationship_AccessPermission_594,
